,names,scores,logfoldchanges,pvals,pvals_adj
4305,TTC39B,0.5444381,0.11524992,0.5861400319314252,1.0
4306,HEXIM1,0.5441827,0.025906859,0.5863157462172712,1.0
4307,KCNMB2-AS1,0.5441725,0.5176176,0.5863227752967397,1.0
4308,IFIT5,0.5440295,0.01577288,0.5864211865119313,1.0
4309,CBR3-AS1,0.5428445,0.26826274,0.5872368881615518,1.0
4310,AC021321.1,0.5417514,0.46682245,0.5879897680142503,1.0
4311,ABHD10,0.54119974,0.037789956,0.5883698954360455,1.0
4312,SEMA3B,0.54079115,0.3339947,0.5886515444861325,1.0
4313,EPHA8,0.54009646,0.030259147,0.5891304907068509,1.0
4314,AC138647.2,0.53960615,0.7298727,0.5894686786103673,1.0
4315,SNHG20,0.5395857,0.07665782,0.5894827717155654,1.0
4316,EIF1B-AS1,0.5391158,0.21448132,0.5898069560082475,1.0
4317,FBXO33,0.53904426,0.063914634,0.589856295602611,1.0
4318,CPNE2,0.5387991,0.057486083,0.5900254743639834,1.0
4319,CYSRT1,0.5385948,0.66049284,0.5901664737382384,1.0
4320,LAMB1,0.53759366,0.28780997,0.5908575948853142,1.0
4321,EME2,0.5373894,0.20268923,0.5909986857467906,1.0
4322,DROSHA,0.53653127,-0.005859692,0.5915914364873949,1.0
4323,PAK1,0.53631675,0.022720315,0.5917396668356157,1.0
4324,NEDD9,0.5359694,0.058908753,0.5919796949866296,1.0
4325,AC024560.4,0.53593874,0.508483,0.5920008760868835,1.0
4326,PCNX3,0.5357855,0.13219874,0.5921067868063228,1.0
4327,UNC13C,0.53539735,0.19505307,0.5923751328760418,1.0
4328,ZER1,0.5353054,0.084133014,0.5924386966948947,1.0
4329,PKP4,0.5351726,0.057545807,0.5925305166228398,1.0
4330,NADK,0.5349274,0.07900798,0.5927000474805242,1.0
4331,KLRD1,0.5346823,1.099269,0.5928696005736309,1.0
4332,PRORP,0.5342838,0.04967862,0.5931451717551608,1.0
4333,ISG15,0.53395694,0.22748657,0.5933713252594722,1.0
4334,AC092418.2,0.53394675,0.57695085,0.5933783931926984,1.0
4335,N4BP1,0.5338957,0.027049888,0.5934137334371072,1.0
4336,MDFI,0.5337629,0.5154631,0.5935056225827507,1.0
4337,FAM106A,0.53342575,0.15024716,0.5937389088963118,1.0
4338,APBA3,0.53334403,0.2053968,0.5937954694730786,1.0
4339,C2orf88,0.53316015,0.6070221,0.5939227397844143,1.0
4340,ACHE,0.53289455,0.016811892,0.5941065967066004,1.0
4341,KCTD21,0.5328128,0.51620924,0.5941631733034622,1.0
4342,SMYD5,0.53277194,0.09827492,0.594191462525766,1.0
4343,AC234775.3,0.5320058,0.47676152,0.5947219994390851,1.0
4344,MDC1,0.53199553,0.013377601,0.5947290747262759,1.0
4345,ZNF746,0.5308616,0.06767989,0.5955146704993627,1.0
4346,NCAPD3,0.53080034,0.040868856,0.5955571486181503,1.0
4347,BX284668.6,0.53049386,0.46573693,0.5957695599402151,1.0
4348,AC066612.1,0.5302998,1.2391235,0.5959041049747382,1.0
4349,VPS13B-DT,0.53014654,0.09870649,0.5960103345217465,1.0
4350,ZDHHC14,0.53010565,0.14077915,0.5960386638585384,1.0
4351,ZFYVE1,0.5299422,0.057759907,0.5961519873419354,1.0
4352,PSAP,0.529932,0.026367601,0.5961590703856032,1.0
4353,AL445623.2,0.52981967,0.1212851,0.5962369863965706,1.0
4354,AL391001.1,0.52981967,0.523316,0.5962369863965706,1.0
4355,MTRNR2L10,0.52957445,0.76278734,0.5964070010672278,1.0
4356,POLR2D,0.529411,0.01985854,0.5965203564457433,1.0
4357,CASC9,0.5293293,0.19057097,0.596577037813607,1.0
4358,ABCA2,0.52922714,0.057846867,0.596647892971587,1.0
4359,CDCA7,0.5289411,0.31133497,0.5968463077919881,1.0
4360,GDF9,0.52838945,1.7396855,0.5972290497158823,1.0
4361,GRIK5,0.52781737,0.06685708,0.5976260851189883,1.0
4362,SYCP2,0.52697974,0.5039721,0.5982076746909852,1.0
4363,GOLGA6L10,0.52694905,0.3323106,0.5982289572293286,1.0
4364,ARMCX5,0.5267856,0.022141477,0.5983424699048427,1.0
4365,RBM5-AS1,0.5267448,0.31967148,0.5983708496010176,1.0
4366,AL133367.1,0.5264894,0.7757643,0.5985482365403274,1.0
4367,PDE8A,0.5262442,0.3084403,0.5987185504430457,1.0
4368,ZNF264,0.5261012,0.039788324,0.5988179103685132,1.0
4369,AC068205.2,0.525999,0.09096775,0.5988888863212617,1.0
4370,BCL2,0.5259071,0.036676403,0.5989527679396396,1.0
4371,WDR19,0.5257334,0.07913978,0.5990734416461463,1.0
4372,KHK,0.5256619,0.11833586,0.5991231340220736,1.0
4373,MFSD3,0.5252635,0.022337062,0.5994000257348309,1.0
4374,PRXL2C,0.5249979,0.37156415,0.5995846524068441,1.0
4375,LMAN2L,0.52482426,0.23071124,0.5997053837674392,1.0
4376,AC008982.2,0.5247834,0.1420251,0.5997337927457498,1.0
4377,ARMC5,0.5247732,0.053039778,0.5997408950855169,1.0
4378,HEXD-IT1,0.5247323,0.42456016,0.5997693048253263,1.0
4379,STX6,0.5246506,0.032964826,0.5998261261323927,1.0
4380,AC005899.8,0.5246506,0.7459061,0.5998261261323927,1.0
4381,NOA1,0.5245178,0.040138423,0.5999184659525674,1.0
4382,CARMIL1,0.52430326,0.19497204,0.6000676438648194,1.0
4383,LGR4,0.52408874,0.14763921,0.600216838557105,1.0
4384,AL662844.4,0.5238946,0.16687736,0.600351838685909,1.0
4385,LINC02249,0.5238129,0.14293906,0.6004086849526915,1.0
4386,CLPB,0.52370054,0.0628125,0.6004868525429843,1.0
4387,GATB,0.5235779,0.019561404,0.6005721315243401,1.0
4388,AC091607.2,0.52351665,0.35005566,0.6006147730677115,1.0
4389,LAS1L,0.5232306,0.023678586,0.600813785026963,1.0
4390,MMS22L,0.5226585,0.0831735,0.6012118982942509,1.0
4391,DNAH6,0.5225666,0.31256205,0.6012758918903648,1.0
4392,EPOR,0.5224134,0.20788327,0.6013825547162096,1.0
4393,C1orf115,0.5217902,0.28561518,0.6018164048243206,1.0
4394,SNX18,0.5209117,0.02359323,0.6024283020011465,1.0
4395,RPGRIP1L,0.5204213,0.031290676,0.6027699478216413,1.0
4396,AL365436.2,0.5200229,0.3909449,0.6030475992574311,1.0
4397,AKAP17A,0.5199412,0.03902559,0.6031045605100281,1.0
4398,AF131216.1,0.5197778,0.4689585,0.6032184902762763,1.0
4399,ASXL1,0.51941,0.032802124,0.6034748676378203,1.0
4400,U2AF1,0.51938957,0.19718987,0.6034891122608732,1.0
4401,ZNF506,0.5192874,0.031092748,0.6035603376434588,1.0
4402,TAF4B,0.5189401,1.0602599,0.6038025322039675,1.0
4403,ITGA7,0.51890945,0.17883652,0.6038239044085861,1.0
4404,GRIK2,0.5187256,0.008264263,0.6039521447732974,1.0
4405,SLC41A2,0.51860297,0.025352875,0.6040376451458385,1.0
4406,ERG28,0.51853144,0.03575386,0.6040875228734772,1.0
4407,KCNF1,0.5183271,0.060450997,0.6042300408571137,1.0
4408,AKR1C2,0.51809216,0.00673857,0.6043939551973098,1.0
4409,HEXD,0.5180207,0.041848388,0.6044438461314356,1.0
4410,LINC01277,0.5179083,0.42618945,0.6045222499047189,1.0
4411,EPHA1-AS1,0.5176529,0.75229794,0.6047004572674989,1.0
4412,GOLGA4,0.51738733,0.028551444,0.6048858179182558,1.0
4413,CCDC13,0.5169889,0.34818435,0.6051639066553023,1.0
4414,TRIOBP,0.5162227,0.033408828,0.6056988536664107,1.0
4415,HAUS2,0.5156813,0.035673123,0.606077010512849,1.0
4416,BEST1,0.51562,0.3057893,0.6061198273772519,1.0
4417,METAP1,0.5153544,0.01840602,0.6063053827585603,1.0
4418,NRAV,0.5151603,0.2613107,0.6064409969856448,1.0
4419,AC114803.1,0.5150275,1.8351471,0.6065337934809812,1.0
4420,POLR3E,0.5149969,0.053981513,0.6065552089582495,1.0
4421,CAMK2A,0.5148947,0.030004283,0.6066265963235189,1.0
4422,AC109454.2,0.5147415,0.5182713,0.6067336844119302,1.0
4423,DRAIC,0.51465976,0.41238645,0.6067908015130712,1.0
4424,ZNF701,0.51412857,-0.000888619,0.6071621212167503,1.0
4425,BDH2,0.5140877,0.06252243,0.6071906884728915,1.0
4426,C8orf34,0.51379144,0.34982944,0.6073978190248288,1.0
4427,AC119403.1,0.5137812,0.701758,0.6074049620200974,1.0
4428,ANAPC4,0.51374036,0.06481268,0.607433534376072,1.0
4429,Z94721.3,0.51374036,0.7134261,0.607433534376072,1.0
4430,FKBP5,0.5137199,0.101078235,0.6074478207789915,1.0
4431,TBCE-1,0.51308656,0.10967291,0.6078907736224315,1.0
4432,PDHX,0.51296395,0.028072914,0.6079765230641299,1.0
4433,LINC00863,0.512494,0.034551967,0.608305279202788,1.0
4434,AC025423.1,0.51247364,1.3894767,0.608319574744558,1.0
4435,ZNF404,0.51243275,0.13983996,0.6083481662771365,1.0
4436,AL049828.1,0.5123919,0.08130529,0.6083767584084033,1.0
4437,TGFB3,0.5117892,0.9162747,0.608798561863162,1.0
4438,Z82217.1,0.5110843,0.11383608,0.6092920225056688,1.0
4439,QPCTL,0.5102671,0.8628169,0.6098643733529119,1.0
4440,AC009560.4,0.5101751,0.8879456,0.6099287777675809,1.0
4441,LRRTM2,0.5098584,0.03439986,0.6101506383170203,1.0
4442,ZNF451-AS1,0.5097767,0.80202216,0.6102078984685559,1.0
4443,F11R,0.5094294,0.3213735,0.6104512807232626,1.0
4444,LEP,0.50896966,0.8130592,0.6107734705143318,1.0
4445,AC139887.4,0.5087756,0.48747888,0.6109095288432251,1.0
4446,AC245060.5,0.5085917,0.041318733,0.6110384386019017,1.0
4447,KLF12,0.5084998,0.029303282,0.6111028980025115,1.0
4448,TF,0.5084283,0.30305243,0.6111530351754013,1.0
4449,ASXL3,0.50840783,0.031941656,0.6111673604167639,1.0
4450,LARP6,0.5082852,0.027041512,0.6112533149896237,1.0
4451,MKNK1,0.50782555,0.06610522,0.6115756923311033,1.0
4452,ZNF423,0.50677335,0.070159234,0.6123138614653094,1.0
4453,NPR3,0.50659966,1.6314464,0.6124357330760438,1.0
4454,CHCHD4,0.5064464,0.050757185,0.6125432757548386,1.0
4455,DEPDC7,0.5063239,0.5415584,0.6126293159071696,1.0
4456,SHANK2,0.50611955,0.026324602,0.6127727280284784,1.0
4457,LRP5L,0.5055679,0.25400105,0.6131600148213542,1.0
4458,AC010624.2,0.5052206,0.9303602,0.6134039174876491,1.0
4459,IL1RAPL1,0.5050061,0.04438347,0.6135545846366273,1.0
4460,BMPR2,0.5048426,0.026413836,0.6136693896117043,1.0
4461,AC110491.1,0.50467914,0.6908503,0.6137842040604162,1.0
4462,NLRP1,0.5046076,0.4677181,0.6138344383601579,1.0
4463,CBS,0.5045055,0.86025935,0.6139062047899077,1.0
4464,AC012063.1,0.50441355,0.1185409,0.6139707977391695,1.0
4465,AC012066.2,0.5041173,0.5451934,0.61417895095123,1.0
4466,C17orf50,0.5040356,0.8946053,0.6142363779986276,1.0
4467,UBE4B,0.5039947,0.044306602,0.6142650924094388,1.0
