,names,scores,logfoldchanges,pvals,pvals_adj
6950,PAPSS2,-0.07180528,-0.19413114,0.9427568656240752,0.9998513817660397
6951,NPR2,-0.071877725,-0.20653883,0.9426992185999582,0.9998513817660397
6952,AL450306.1,-0.07192946,-0.19458716,0.9426580423379037,0.9998513817660397
6953,TBC1D8-AS1,-0.07192946,-0.42339125,0.9426580423379037,0.9998513817660397
6954,AL109615.4,-0.07196051,-0.19917618,0.9426333366542209,0.9998513817660397
6955,AL442663.3,-0.07207434,-0.6171526,0.942542749619757,0.9998513817660397
6956,ARL9,-0.07250895,-0.20633794,0.9421968786979702,0.9998513817660397
6957,RNF125,-0.07257105,-0.6202558,0.942147469454528,0.9998513817660397
6958,AC092118.2,-0.072726265,-0.2920137,0.9420239473203379,0.9998513817660397
6959,TPCN2,-0.07301601,-0.22672921,0.9417933764029072,0.9998513817660397
6960,CEACAM1,-0.0730781,-0.32132784,0.9417439689831446,0.9998513817660397
6961,AC079834.2,-0.07318158,-0.15230255,0.941661623781803,0.9998513817660397
6962,GP6,-0.07327472,-0.26199257,0.9415875136337385,0.9998513817660397
6963,TAP2,-0.07345063,-0.20461597,0.9414475291788971,0.9998513817660397
6964,ARMC3,-0.07386456,-0.63496566,0.9411181611336012,0.9998513817660397
6965,KCTD9,-0.07407151,-0.16826175,0.940953480883704,0.9998513817660397
6966,LIMS1,-0.07409221,-0.070525035,0.9409370129974471,0.9998513817660397
6967,YY2,-0.07411291,-0.34288466,0.9409205451364425,0.9998513817660397
6968,LINC01116,-0.07444405,-0.2859726,0.9406570628003952,0.9998513817660397
6969,AL031280.1,-0.07446474,-0.18675688,0.9406405953697515,0.9998513817660397
6970,RASSF1-AS1,-0.074733794,-0.16933334,0.9404265210833807,0.9998513817660397
6971,NACC2,-0.074868314,-0.119143344,0.9403194855533725,0.9998513817660397
6972,MLC1,-0.07487866,-0.5118368,0.9403112520956913,0.9998513817660397
6973,AL353708.3,-0.075540945,-0.2932206,0.93978432411215,0.9998513817660397
6974,PAOX,-0.075561635,-0.20850901,0.9397678580362312,0.9998513817660397
6975,C1orf94,-0.075561635,-0.8868194,0.9397678580362312,0.9998513817660397
6976,TRIM35,-0.076047994,-0.22134745,0.939380912680121,0.9998513817660397
6977,KIRREL2,-0.07611009,-0.1627989,0.939331516428834,0.9998513817660397
6978,SLC6A4,-0.0763274,-0.3808895,0.9391586313887872,0.9998513817660397
6979,ANKRD18A,-0.07653435,-0.5221265,0.9389939816355641,0.9998513817660397
6980,DNAJB13,-0.07669993,-0.215422,0.938862263710392,0.9998513817660397
6981,IRAK4,-0.07676201,-0.17581101,0.9388128699195012,0.9998513817660397
6982,ACOT9,-0.07739325,-0.13775767,0.9383107131078376,0.9998513817660397
6983,LINC01023,-0.0774036,-0.18400657,0.9383024812327876,0.9998513817660397
6984,TTLL1,-0.07763125,-0.03504777,0.9381213816514044,0.9998513817660397
6985,AL031118.1,-0.07775543,-0.4219068,0.9380226014099795,0.9998513817660397
6986,TRIOBP,-0.077931345,-0.10849328,0.9378826643676408,0.9998513817660397
6987,FMR1-AS1,-0.07794169,-0.19156918,0.937874432836617,0.9998513817660397
6988,MAMDC2-AS1,-0.078045174,-0.03371087,0.9377921178916748,0.9998513817660397
6989,MPV17L2,-0.07812796,-0.054927934,0.9377262664143258,0.9998513817660397
6990,KCNH3,-0.0782004,-0.11215546,0.9376686467210111,0.9998513817660397
6991,AHNAK,-0.07866606,-0.2519486,0.9372982422132113,0.9998513817660397
6992,AC027097.2,-0.07888337,-0.1821915,0.9371253914147804,0.9998513817660397
6993,LINC02427,-0.07903859,-0.12631741,0.9370019283723681,0.9998513817660397
6994,FLNB,-0.079111025,-0.11075411,0.9369443128040904,0.9998513817660397
6995,GSEC,-0.07930764,-0.09958353,0.9367879293553685,0.9998513817660397
6996,THEMIS2,-0.07930764,-0.15397675,0.9367879293553685,0.9998513817660397
6997,PKIA-AS1,-0.07972156,-0.3256969,0.9364587090200921,0.9998513817660397
6998,SLC45A4,-0.07982504,-0.063970916,0.9363764056315252,0.9998513817660397
6999,LINC01515,-0.07987679,-0.3007951,0.9363352541921317,0.9998513817660397
7000,PTGR2,-0.079928525,-0.2058442,0.9362941029228108,0.9998513817660397
7001,POFUT1,-0.08001131,-0.14251916,0.9362282612459214,0.9998513817660397
7002,ZYG11A,-0.0800734,-0.6056425,0.9361788802744299,0.9998513817660397
7003,ACSS1,-0.08009409,-0.2195877,0.9361624200051463,0.9998513817660397
7004,CMTR1,-0.08021827,-0.123924755,0.9360636589626787,0.9998513817660397
7005,AL512353.1,-0.08034245,-2.0465636,0.9359648989039903,0.9998513817660397
7006,WEE1,-0.080394186,-0.10501847,0.9359237491702479,0.9998513817660397
7007,FAAH2,-0.08045628,-0.124506764,0.9358743697157074,0.9998513817660397
7008,MCAM,-0.08048732,-0.28306335,0.9358496800809264,0.9998513817660397
7009,AC138904.1,-0.0805701,-0.3884128,0.9357838413565089,0.9998513817660397
7010,CENPA,-0.08069428,-0.16725762,0.935685084093411,0.9998513817660397
7011,AC007405.1,-0.08101507,-0.24511819,0.9354299657476755,0.9998513817660397
7012,ZEB2-AS1,-0.08101507,-0.43333808,0.9354299657476755,0.9998513817660397
7013,AC087386.1,-0.08103577,-0.2627176,0.9354135067269582,0.9998513817660397
7014,AC068700.2,-0.081108205,-0.3607508,0.9353559003718747,0.9998513817660397
7015,AC024075.1,-0.08141865,-0.39780593,0.9351090198301075,0.9998513817660397
7016,DKC1,-0.08151178,-0.05874357,0.9350349568833061,0.9998513817660397
7017,AC026329.1,-0.081594564,-1.0792577,0.9349691236248,0.9998513817660397
7018,KCNJ2-AS1,-0.08164631,-0.28924572,0.9349279780640231,0.9998513817660397
7019,SMN2,-0.08171874,-0.26403913,0.9348703745709696,0.9998513817660397
7020,TMCC1-AS1,-0.08177048,-0.17040424,0.9348292294275331,0.9998513817660397
7021,AC010547.1,-0.08237067,-0.41070753,0.9343519585135387,0.9998513817660397
7022,NFKBIZ,-0.08239137,-0.474255,0.9343355013156673,0.9998513817660397
7023,NBPF19,-0.082412064,-0.30502668,0.9343190441458586,0.9998513817660397
7024,AC006001.2,-0.08243276,-0.36161625,0.9343025870041193,0.9998513817660397
7025,PCAT19,-0.08253624,-0.5477786,0.934220301716711,0.9998513817660397
7026,LPAR6,-0.08257763,-0.49818242,0.9341873877984794,0.9998513817660397
7027,KDELR3,-0.08257763,-0.47704923,0.9341873877984794,0.9998513817660397
7028,ARHGAP45,-0.08272251,-0.6829365,0.9340721899709907,0.9998513817660397
7029,AC010884.1,-0.08283633,-0.28917468,0.9339816783606292,0.9998513817660397
7030,AL445928.2,-0.08307434,-0.8066962,0.933792429570885,0.9998513817660397
7031,TFAP2A,-0.08316747,-0.32433224,0.933718376714617,0.9998513817660397
7032,AC015845.2,-0.08337443,-0.321596,0.9335538168662955,0.9998513817660397
7033,MMP19,-0.08341583,-0.30521733,0.9335209052371477,0.9998513817660397
7034,MPZ,-0.08344687,-0.17470856,0.9334962215898576,0.9998513817660397
7035,FAM189A2,-0.083477914,-0.46698284,0.9334715380065114,0.9998513817660397
7036,PAX2,-0.08351931,-0.28277916,0.9334386266615591,0.9998513817660397
7037,PACRG,-0.08386079,-0.14492454,0.9331671124121373,0.9998513817660397
7038,LINC00167,-0.08415054,-0.37665254,0.9329367427815682,0.9998513817660397
7039,AL034417.3,-0.0843575,-0.23455589,0.932772196483228,0.9998513817660397
7040,PIEZO2,-0.08438855,-0.6330473,0.9327475147860804,0.9998513817660397
7041,SBSN,-0.08446098,-0.35948458,0.932689924410901,0.9998513817660397
7042,MTMR14,-0.08494734,-0.08856183,0.9323032553172468,0.9998513817660397
7043,LINC01798,-0.08518535,-0.26726675,0.9321140400873228,0.9998513817660397
7044,CD8A,-0.08522674,-0.18019836,0.9320811334821146,0.9998513817660397
7045,IRF7,-0.085350916,-0.13434821,0.9319824143632265,0.9998513817660397
7046,LINC01547,-0.085599266,-0.17545542,0.9317849792658014,0.9998513817660397
